tempo (s),entrada (V),saida (V)
85.31273865699768,4.0,1.41
85.41512322425842,4.0,1.42
85.51344656944275,4.0,1.41
85.61584377288818,4.0,1.42
85.7182264328003,4.0,1.42
85.81655216217041,4.0,1.43
85.91895914077759,4.0,1.44
86.02132225036621,4.0,1.43
86.11965441703796,4.0,1.44
86.22208666801453,4.0,1.41
86.32435846328735,4.0,1.42
86.42275214195251,4.0,1.41
86.52510619163513,4.0,1.41
86.62740898132324,4.0,1.42
86.72583150863647,4.0,1.43
86.82822179794312,4.0,1.43
86.93052816390991,4.0,1.43
87.02894735336304,4.0,1.44
87.13129568099976,4.0,1.41
87.23355841636658,4.0,1.42
87.33202576637268,4.0,1.41
87.43441009521484,4.0,1.42
87.53671264648438,4.0,1.42
87.6351068019867,4.0,1.43
87.73748302459717,4.0,1.44
87.8398175239563,4.0,1.43
87.93825817108154,4.0,1.44
